Title,Distributor,ReleaseDate,DomesticSales,InternationalSales,WorldSales,MovieRuntime,License
Spider-Man: Into the Spider-Verse (2018),Sony Pictures Entertainment (SPE),12-Dec-18,190241310,185299521,375540831,1 hr 57 min,PG
Grease (1978),Paramount Pictures,16-Jun-78,190071103,206200000,396271103,1 hr 50 min,PG
Dunkirk (2017),Warner Bros.,19-Jul-17,189740665,337275642,527016307,1 hr 46 min,PG-13
Wreck-It Ralph (2012),Walt Disney Studios Motion Pictures,1-Nov-12,189422889,281800000,471222889,1 hr 41 min,PG
A Quiet Place (2018),Paramount Pictures,4-Apr-18,188024361,152928610,340952971,1 hr 30 min,PG-13
Interstellar (2014),Paramount Pictures,5-Nov-14,188020017,513709189,701729206,2 hr 49 min,PG-13
The Polar Express (2004),Warner Bros.,10-Nov-04,187935490,126279964,314215454,1 hr 40 min,NA
Gladiator (2000),DreamWorks Distribution,4-May-00,187705427,277675375,465380802,2 hr 35 min,R
The Croods (2013),Twentieth Century Fox,15-Mar-13,187168425,400067558,587235983,1 hr 38 min,PG
Sherlock Holmes: A Game of Shadows (2011),Warner Bros.,NA,186848418,357000000,543848418,2 hr 9 min,NA
The Day After Tomorrow (2004),Twentieth Century Fox,26-May-04,186740799,365898772,552639571,2 hr 4 min,PG-13
Mr. & Mrs. Smith (2005),Twentieth Century Fox,8-Jun-05,186336279,300951367,487287646,2 hr,PG-13
Snow White and the Seven Dwarfs (1937),Walt Disney Studios Motion Pictures,NA,184925486,184925486,184925486,1 hr 23 min,NA
Pitch Perfect 2 (2015),Universal Pictures,7-May-15,184296230,102847849,287144079,1 hr 55 min,PG-13
Dances with Wolves (1990),Orion Pictures,9-Nov-90,184208848,240000000,424208848,3 hr 1 min,NA
Batman Forever (1995),Warner Bros.,16-Jun-95,184069126,152498032,336567158,2 hr 1 min,PG-13
The Fugitive (1993),Warner Bros.,NA,183875760,185000000,368875760,2 hr 10 min,NA
Black Widow (2021),Walt Disney Studios Motion Pictures,NA,183651655,195979696,379631351,2 hr 14 min,NA
The Revenant (2015),Twentieth Century Fox,25-Dec-15,183637894,349312609,532950503,2 hr 36 min,R
Ocean's Eleven (2001),Warner Bros.,7-Dec-01,183417150,267300000,450717150,1 hr 56 min,PG-13
The Simpsons Movie (2007),Twentieth Century Fox,25-Jul-07,183135014,353279279,536414293,1 hr 27 min,PG-13
What Women Want (2000),Paramount Pictures,15-Dec-00,182811707,191300000,374111707,2 hr 7 min,PG-13
The Perfect Storm (2000),Warner Bros.,30-Jun-00,182618434,146100000,328718434,2 hr 10 min,PG-13
Lincoln (2012),Walt Disney Studios Motion Pictures,9-Nov-12,182207973,93085477,275293450,2 hr 30 min,PG-13
Liar Liar (1997),Universal Pictures,NA,181410615,121300000,302710615,1 hr 26 min,NA
Jurassic Park III (2001),Universal Pictures,5-Jul-01,181171875,187608934,368780809,1 hr 32 min,PG-13
Thor (2011),Paramount Pictures,21-Apr-11,181030624,268295994,449326618,1 hr 55 min,PG-13
Mission: Impossible (1996),Paramount Pictures,22-May-96,180981856,276714535,457696391,1 hr 50 min,PG-13
Ant-Man (2015),Walt Disney Studios Motion Pictures,10-Jul-15,180202163,339109802,519311965,1 hr 57 min,PG-13
Planet of the Apes (2001),Twentieth Century Fox,27-Jul-01,180011740,182200000,362211740,1 hr 59 min,PG-13
Madagascar: Escape 2 Africa (2008),DreamWorks,30-Oct-08,180010950,423889404,603900354,1 hr 29 min,PG
X-Men Origins: Wolverine (2009),Twentieth Century Fox,29-Apr-09,179883157,193179707,373062864,1 hr 47 min,PG-13
Indiana Jones and the Temple of Doom (1984),Paramount Pictures,23-May-84,179870271,153237000,333107271,1 hr 58 min,NA
Hitch (2005),Sony Pictures Entertainment (SPE),11-Feb-05,179495555,192098655,371594210,1 hr 58 min,PG-13
Men in Black 3 (2012),Sony Pictures Entertainment (SPE),23-May-12,179020854,445005922,624026776,1 hr 46 min,PG-13
Pretty Woman (1990),Walt Disney Studios Motion Pictures,23-Mar-90,178406268,285000000,463406268,1 hr 59 min,R
Home (2015),Twentieth Century Fox,19-Mar-15,177397510,208644097,386041607,1 hr 34 min,PG
Night at the Museum: Battle of the Smithsonian (2009),Twentieth Century Fox,20-May-09,177243721,235862449,413106170,1 hr 45 min,PG
Tootsie (1982),Columbia Pictures,17-Dec-82,177200000,177200000,177200000,1 hr 56 min,NA
How to Train Your Dragon 2 (2014),Twentieth Century Fox,5-Jun-14,177002924,444534595,621537519,1 hr 42 min,PG
Rise of the Planet of the Apes (2011),Twentieth Century Fox,3-Aug-11,176760185,305040688,481800873,1 hr 45 min,PG-13
Captain America: The First Avenger (2011),Paramount Pictures,22-Jul-11,176654505,193915269,370569774,2 hr 4 min,PG-13
Elf (2003),New Line Cinema,7-Nov-03,176630408,47223328,223853736,1 hr 37 min,PG
The Karate Kid (2010),Sony Pictures Entertainment (SPE),10-Jun-10,176591618,182534404,359126022,2 hr 20 min,PG
There's Something About Mary (1998),Twentieth Century Fox,15-Jul-98,176484651,193400000,369884651,1 hr 59 min,R
Ice Age (2002),Twentieth Century Fox,14-Mar-02,176387405,206869731,383257136,1 hr 21 min,PG
The Bourne Supremacy (2004),Universal Pictures,23-Jul-04,176241941,114593328,290835269,1 hr 48 min,PG-13
The Lego Batman Movie (2017),Warner Bros.,2-Feb-17,175750384,136200000,311950384,1 hr 44 min,PG
Us (2019),Universal Pictures,20-Mar-19,175084580,80100902,255185482,1 hr 56 min,R
The Boss Baby (2017),Twentieth Century Fox,NA,175003033,352962903,527965936,1 hr 37 min,NA
Crazy Rich Asians (2018),Warner Bros.,15-Aug-18,174532921,64006277,238539198,2 hr,PG-13
The Greatest Showman (2017),Twentieth Century Fox,20-Dec-17,174340174,262609460,436949634,1 hr 45 min,PG
Fast & Furious Presents: Hobbs & Shaw (2019),Universal Pictures,1-Jul-19,173956935,585100000,759056935,2 hr 17 min,NA
Apollo 13 (1995),Universal Pictures,NA,173837933,181077570,355237933,2 hr 20 min,NA
Home Alone 2: Lost in New York (1992),Twentieth Century Fox,NA,173585516,185409334,358994850,2 hr,NA
National Treasure (2004),Walt Disney Studios Motion Pictures,19-Nov-04,173008894,174503424,347512318,2 hr 11 min,PG
F9: The Fast Saga (2021),Universal Pictures,NA,173005945,553223556,726229501,2 hr 23 min,NA
Air Force One (1997),Sony Pictures Entertainment (SPE),25-Jul-97,172956409,142200000,315156409,2 hr 4 min,R
Rain Man (1988),Metro-Goldwyn-Mayer (MGM),16-Dec-88,172825435,182000000,354825435,2 hr 13 min,NA
Pirates of the Caribbean: Dead Men Tell No Tales (2017),Walt Disney Studios Motion Pictures,24-May-17,172558876,622322566,794881442,2 hr 9 min,PG-13
TRON: Legacy (2010),Walt Disney Studios Motion Pictures,16-Dec-10,172062763,228001089,400063852,2 hr 5 min,PG
Mary Poppins Returns (2018),Walt Disney Studios Motion Pictures,19-Dec-18,171958438,177587704,349546142,2 hr 10 min,PG
The Matrix (1999),Warner Bros.,31-Mar-99,171479930,295145800,466625730,2 hr 16 min,R
True Grit (2010),Paramount Pictures,22-Dec-10,171243005,81033922,252276927,1 hr 50 min,PG-13
Tarzan (1999),Walt Disney Studios Motion Pictures,16-Jun-99,171091819,277100000,448191819,1 hr 28 min,G
